,questionText,topics,re_diagnosis,clean_answer_text
0,"my wife and mother are having tense disagreements in the past theyve had minor differences for example my wife would complain to me my mother is too overbearing my mother would complain my wife is lazy
however its intensified lately i think the cause is my wife talked back to her once now any little disagreement is magnified leading to major disagreements what can i do",family conflict,mood disorders,what you are describing is something psychologists have termed triangulation which is what happens when one family member will not talk to the one they have a problem with and goes to a third member of the family to complain instead you have been triangulated by your wife and motherthis is often seen in families its seen everywhere how many times have you had a problem with someone but you didnt go to them to tell them you went to someone else to complain it is usually difficult for a person to confront another especially in relationships where there is a power differential for example i bet its easier to complain to a coworker about your boss rather than go to the boss with your complaintim not saying triangulation is always a bad thing sometimes a third party mediator is needed to help solve problems between two people who disagree thats what therapists do every day sometimes just getting someone elses perspective can help you see the issue clearer however in your situation it sounds like this is becoming a problem you are stuck in the middle between two people that love you and that you loveif you want to put a stop to this triangulation you will need to encourage the two of them to talk to each other and work out their differences perhaps it was a simple misunderstanding that some open communication can clear up even if they really dont like each other and cant get along your relationship with the both of them is going to continue to deteriorate the longer you are stuck in the middle try to understand what might be the feelings behind their behavior it is possible that they may both feel threatened by the other these are the two most important women in your life and they both know it your mother may be afraid that she will lose you if she confronts your wife i heard one motherinlaw describe her sons wife as the gateway to her son the wife has the power to dictate when and how often the mother gets to see her son the wife also is the gateway to the grandchildren if your wife doesnt like her motherinlaw she can severely hamper or damage her motherinlaws relationship with you and any children you two may have from your wifes viewpoint this is the woman that she may feel like she can never live up to if you regularly praise your moms cooking her housework gardening or anything else your wife may feel that you are putting down her own efforts in these areas and can feel unappreciated this can be especially difficult if your wife and mother are nothing alike i am not saying that this is the case with your familys situation these are just a few examples from other families in a similar situation as yours regardless of what the cause is if this dysfunctional pattern is allowed to continue your mom and your wife will begin to get upset with you when you dont agree with them they will get upset if you dont align yourself with them against the other they will be offended when it seems like you are choosing the other ones side or that you are not standing up for them like they think you should in worst cases if it continues to escalate you may even find yourself in the impossible position of having to choose between your wife and your mother which may mean cutting off contact with the other ending that relationship change the dynamics before it spirals even further
1,"im planning to have baby so i have to quit smoking  but its hard sometimes its not a physical need its mental

i cannot help myself from thinking about smoking what can i do to get rid of this addiction",substance abuseaddiction,mood disorders,hi good for you in planning ahead to do whats healthiest for your baby and yourself thats a great first step its also good that you are able to identify that its not always a physical need thats driving the addictionfor the next steps i would suggest trying to figure out when the psychological cravings for a cigarette occur the psychological or mental cravings are usually based out of habit such as having a cigarette after a meal and if youre consciously trying to quit youll find the craving starts with simply thinking about having a cigarette then usually moves on to thinking about how good it made you feel etc etc well if im on a diet and i continue to let myself think about the ice cream sitting in the freezer eventually ill give in and eat ityoure going to have thoughts about smoking a cigarette thats normal and for the most part out of your control but you choose whether or not to continue thinking and dwelling about it after that initial thought thats what you would have to work on changing when you have that initial thought acknowledge it ok i kind of want a cigarette now but then change the thoughts that typically follow distract yourself think about something else do something else whatever it takes to get your mind off of that cigaretteive suggested to clients before that they should plan these scenarios out ahead of time so they already know what theyre going to do when the time comes write down when you usually have the craving for a cigarette and then write down new thoughts or things to do to get your mind off of it eventually it will become easier and easier to brush off that initial thought until you no longer have itbest of luck and you have a really great motivator to quit  your baby
2,"i have secrets in my mind and i dont know what to do with them i dont want to tell my wife and mom because i dont want to hurt them but im not sure how long that i can keep the secret to myself

what should i do its becoming annoying and making me anxious help me out",family conflict,mood disorders,it sounds like keeping the secrets has become a problem for you now there are several things to consider before you make a decision you mentioned that you dont want your wife and mom to know because you dont want to hurt them  why would it hurt them  is it necessary for them to know this information what are the consequences of either telling them the truth or not telling them for you and for your wife and mom once you have considered these think of what you would tell your friend if they were in your exact situation also if your wife or mom were in your situation right now what do you think they would do themselves if your wife and mom were in this situation how would you feel would you want to know the secrets how has keeping these secrets affected your own mental and physical healthonce you have looked at the problem from all angles you will be able to better make a decision on whether it is right to tell them or not
3,i am extremely possessive in my relationships and this is hurting my friendships how can i fix my underlying issues,behavioral changesocial relationships,anxiety disorders,hi there its great you are able to realize there are other issues going on with someone who feels possessive at the root of it is fear fear of losing someone fear of being alone fear of not being good enough all those fears can lead to low selfesteem and feeling like you have to control other people so you dont lose them the thing is controlling other people only pushes them away vicious circle right what i would suggest is some cognitive therapy to change those underlying ways of thinking you can start with this assignment write down all the things you think about yourself positive and notsopositive then rewrite those notsopositive things so they are positive for example thinking something like im too pushy can be rewritten as im assertive and i go after what i want it can be hard to do since we tend to get stuck in our negative ways of thinking about ourselves if you have someone you trust you can ask for their help as well since most likely they see you differently than you see yourselffinding a good cognitive therapist can help you further but if thats not an option for you right now there are lots of selfhelp books and websites that are out there youve already taken the first step so keep moving forward
4,i had a head injury a few years ago and my mind races all the time i have trouble sleeping and have a lot of anxiety every medicine i have been on my body rejects i get sick to my stomach and get blisters in my mouth how can i calm my self down im a wreck,anxiety,anxiety disorders,you didnt say what or how many medications youve tried certain anxiety medications can make you feel nauseous but i havent heard of any that cause mouth blisters so there may be some other underlying medical issue there i would definitely talk to your primary care physician and whoever has prescribed the medication as well as a neurologist if youve suffered a severe head injury there are so many medications available for anxiety or insomnia or even depression that there may be others with lesser side effectsbut beyond that have you tried any other treatments such as deep breathing or meditation meditation can be very effective but it takes practice and you dont have to sit crosslegged for hours chanting ohm to meditate its about focusing on your breath rather than all the thoughts that are racing through your head and when they do take your mind off your breath simply refocus and refocus and refocus like i said it takes practice so dont give up you can find many sites offering different ways to meditate so look around and see what works best for you like medication you just have to find the one that works best and that might take some experimentationi hope this helps and best of luck to you
5,"i want a secure relationship with someone that wants to be with me and who will actually put effort into it
i seem to gravitate toward unavailable men and those that want intimacy and no relationship i let men dictate and control me because they accuse me of being controlling i let men emotionally abuse me and i am at their beck and call
i am not comfortable being alone or doing anything by myself i feel i need the security of someone being around just to survive i know what im doing wrong and i do it anyway just hoping things will change how do i stop this behavior and thought process",relationship dissolution ,mood disorders,it is a good thing that you have recognized that you have been in some unhealthy relationships and that you are wanting to break this pattern  you seem to have some good insight into the situationthe type of behavior that you are describing is usually rooted in childhood issues with insecure attachment bonds with your caregivers childhood trauma andor abuse or neglect or dysfunctional family issues that did not allow you to develop healthy boundaries for yourself or a sense of self  this is something that is going to take some time to work through in therapy  i recommend a book titled boundaries where you end and i begin by anne katherine  another book that might be helpful is codependent no more by melody beattie in the meantime until you can work through your personal issues absolutely do not enter into another relationship  take however long you need to and work on becoming a whole happy emotionally healthy person on your own  needing another person to define you is problematic  thats too much to expect from any individualfor a relationship to be healthy and happy both people in the relationship first need to be a whole person on their own  that means having a clear sense of self knowing who you are and what you want knowing how to set healthy boundaries and knowing how to meet your own needs  it is unreasonable to expect your partner to meet all of your needs all of the time  there will be times that they wont be able to meet your needs  you have to know how to meet those yourself when you are working on becoming the best you that you can be eventually the right person will come into your life  then you can choose to be with someone because you want them in your life instead of feeling like you need them to complete you
6,i easily recognize this but have no control over it and need suggestions for managing my anger,anger management,anxiety disorders,i suggest that you work on emotional awareness emotional awareness basically means knowing what you are feeling and whyemotional awareness also means that you can identify the link between the way you are feeling and your actions in other words knowing that your feelings dictate what you dooften feelings of hurt or insecurity can come out as anger if we cannot properly identify and express the feelingsbeing emotionally aware also means that you are able to express your feelings to others  being unable to do so leads to feelings of frustration and being misunderstoodmany people for many different reasons are not in touch with their emotions  for example men traditionally have been brought up taught to not express sadness or weakness  therefore many men learned to turn feelings of sadness insecurities or fears into anger and express these feelings as anger  being taught not to feel a certain emotion does not make that emotion disappear  instead it makes us learn how to express it in other incorrect ways  if a man never learns to say i am sad or that really hurt my feelings and instead lashes out in anger then the response they get from those around them will be to the anger and not a response to the underlying true feeling which will leave the man feeling alone and misunderstoodyou can control yourself and not explode  walk away remove yourself from the situation do whatever you have to do to not lash out  instead of reacting the way you normally would go somewhere by yourself and think about what just happened and try to understand why such a simple thing upset you  what is the real feeling driving these outbursts  maybe you can begin to recognize an underlying pattern it might help to keep an anger journal  write down everything that gets you upset  that might help you see a pattern and pinpoint what may be setting you off  talking with a therapist about this would be beneficial in helping pinpoint the underlying cause of the outbursts you are experience
7,"it takes me a long time to fall asleep id estimate about two hours i often have nightmares starting with being eaten by a monster and i often wake up frightened and unable to breathe

i believe i started losing sleep after breaking up with a girlfriend of  years also my fathers business went bankrupt and my mother has a chronic condition i was under a lot of stress and life lost meaning

after improving my life and developing a habit of running and exercise to release stress my symptoms improved however in the past couple months i started losing sleep again and having nightmares without warning how can i solve this issue",sleep improvement,anxiety disorders,first of all exercise is always beneficial for your physical and emotional health thats great that you have added this in your routine have you also considered altering your diet certain foods are linked with poor sleep for example alcohol caffeine nicotine and high fat content foods do not bode well with quality sleep especially right before bed time  on the other hand warm milk and foods high in carbohydrates have actually shown to positively impact sleepadditionally at bed time its important to keep your room dim cool and without distractions ie tv ipad phone stick to a sleep routine and avoid any activities close to bed time that demand a lot of attention and energyas far as your nightmares there could be many causes contributing to them certain foods many of the ones mentioned or medications could be the culprit doing a bit of research into the ones you are consuming may help you eliminate the offender you may also benefit from talk therapy with a qualified therapist to discuss any underlying issues you are experiencing oftentimes depression and anxiety can manifest themselves during sleep causing nightmares finally yoga has shown to be very beneficial for quality sleep there are many instructional videos available that can introduce you to the practice if youd rather not join a class right away best of luck to you and i sincerely hope you are able to catch up on some well deserved zs
8,what do you do when a therapist and a parent drugs a child and makes up lies in order to stop the other parents custody visitation,professional ethicslegal  regulatory,anxiety disorders,i will admit i am confused about this question  are you the other parent in question or a concerned coworker of this therapist therapists do not prescribe or have access to medication  most therapists wont even get involved in a custody battle  they know there is a good chance of their records ending up in court and that they themselves will have to testify in court  of course therapists are human and can make mistakes but i find it highly unlikely that a therapist would knowingly and willingly do something like this that is such a major ethical violation  not only are they losing their license to practice by doing this they are going to face criminal charges and jail time  if their clinical judgment is that the other parent is a danger to the child they dont have to resort to illegal means to try to prove this if you have concrete proof that this has happened then there is a process in which you can file a report against the therapist with their licensure board  every therapist is licensed in their state  there are different types of licensures so you would need to know this therapists licensuremost accusations from the other parent are expected in a custody situation because people do tend to get quite ugly  dont accuse the therapist or the parent of anything just to try to make yourself look better and them look bad  have evidence of wrongdoing before accusing them of this  if this has really happened then of course it needs to be reported but dont try to ruin someones career unless you are sure this occurred
9,theyre calling me names like hypocrite and a baby even when they act in the same manner as i do im tired of being called names what should i do,social relationships,anxiety disorders,it sounds like your confused as to why your friends would be calling you a hypocrite when they act in the same manner correct communication is key to any relationship i would recommend speaking with your friends facetoface to address why they feel your behavior is concerning inperson contact is the best method of sorting out differences considering texts emails or any written response can be misconstrued be upfront with them and let them know that being accused of hypocrisy is hurtful and you feel it is unfounded if after speaking with them you feel that they have valid reasons for the way they are feeling maybe you can consider modifying your behavior accordingly especially if this friendship is valuable to you however make sure they are aware that there is a respectful way to address these issues and name calling is not one of them on the other hand if you feel that their reasons are indeed unfounded it may be best to distance yourself from the relationship not all friendships are healthy ones and it is important that you surround yourself with people who are an asset to your self esteem as opposed to those that hinder iti hope you are able to get this matter sorted best of luck
