,question_text,topics,answer_text,q_token_count,a_token_count,a_text_length
0,"i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac    i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years
   ive never had counseling about any of this do i have too many issues to address in counseling",depression,it is very common for people to have multiple issues that they want to and need to address in counseling  i have had clients ask that same question and through more exploration there is often an underlying fear that they  cant be helped or that they will be too much for their therapist i dont know if any of this rings true for you but most people have more than one problem in their lives and more often than not  people have numerous significant stressors in their lives  lets face it life can be complicated therapists are completely ready and equipped to handle all of the issues small or large that a client presents in session most therapists over the first couple of sessions will help you prioritize the issues you are facing so that you start addressing the issues that are causing you the most distress  you can never have too many issues to address in counseling  all of the issues you mention above can be successfully worked through in counseling,1,1,960
74,i have been diagnosed with general anxiety and depression by my family doctor they wrote a prescription for me to have an emotional support dog i have the paper work and i gave it to my apartment manager they said i cant keep the esd because im not disabled what do you suggest i do,depression,this can be a difficult situation  typically only animals that are specifically trains to accomplish a specific task are legally protected as service animsls even though that can be very helpful emotional support animals are not generally protected in the same wayyou might not be able to make your landlord accommodate you if possible you may want to consider a different apparent that is more animal friendly,1,1,410
78,my mother is combative with me when i say i dont want to talk with her about my depression    she hasnt been supportive of me in the past and she isnt someone that i feel comfortable opening up to she constantly tries to instigate conversations where she asks me questions that i dont want to or cant answer i tell her i dont want to talk and she starts arguments with me    how can i get her to understand,depression,do you live with your mom and have constant interaction with her  it is your choice who you share things with  you can set some clear boundaries  she can either talk about the interest you feel comfortable or you can reduce eliminate conversations with her  these arguments are most likely not good for your depression  here is a video regarding boundaries  boundaries,1,1,368
80,there are many people willing to lovingly provide me with a home i have food clothes and a university education but i never feel like i belong even when i have a good time with people who are supposed to be close i feel like im just out with friends and i never go home,depression,from the little bit you wrote my guess is you havent figured out where and how to lay down your own set of rootsusually people who have a university level eduction are old enough to work in order to support themselvesunless you have a medical condition which limits or prevents you from working a fulltime job would you guess that the effort and thought involved in deciding in what professional area and geographic location to look for work would offer you a way to establish your identitymy suggestion is to pay more attention to your own likes dislikes and interests   to know these areas more deeply would define the type of people with whom you identify have a common interest and with whom youd like to socializethe more you realize who you are the easier time youll have to find likeminded others and feel securely at home with them and yourselfagain if you have a medical disability or condition which prevents employment or easily socializing with other people then this advice would need to be modified for your specific strengths,1,1,1040
81,my girlfriend just quit drinking and she became really depressed she told me that she wants to move what can i do to help her i want her to stay,depression,"changing scenery often
helps in recovery could you move with her 
moving could help her depression
also is she also open to therapy  
being supportive is one way to help her and allowing her the space and
ways to heal that suits her best",1,1,242
86,im dealing with an illness that will never go away and i feel like my life will never change for the better i feel alone and that i have no one    how can i overcome this pain and learn to be happy alone,depression,"the power of acceptance is key  changing your attitude to one of more a positive
outlook as we as finding things
activities places you enjoy and that uplift your spirit doing what feels good
and finding joy in all things you may enjoy this very short video  break to rebuild",1,1,277
89,i feel angry anxious and depressed the ptsd i suffer is from a past relationship,depression,i second the suggestion to find a therapist who is trained in cognitive processing therapy cptill also add that all you describe is very common in ptsd  emotionally its an exhausting condition and can take a lot of energy from the body  depression is a common consequence of ptsd since many people experience functional repercussions impacts in work social and familial settings   its not fun to feel constantly terrified  to search for a therapist trained in what you are dealing with it could be helpful to specifically search for folks who specialize in treating ptsd  you can do that through google searches or you can also head over to psychology today and therapy den  both sites are therapist directories where you can narrow down the type of therapist you are looking for as well as other factors like insurance they accept and locationyou are on the right track coming here so keep up the search,1,1,904
91,"i had a very troubled up bringing and im currently dealing with alot right now i know some people may not think so but to me its a lot i feel overwhelmed could this be depression
   i use to be in therapy as a child alll throughout elementry middle and high school i had counseling  times a week i havent be in counseling lately though",depression,what matters most is how you feel and what youre doing with whom youre interacting whether you feel youve got enough interaction to be happywhether or not a clinician would decide to identify you as depressed matters much less than how you actually are feeling if you have some ideas as to what might improve your sense of being and how to go about reaching your goalsif therapy during your childhood made you feel better and you feel you may be depressed then trying therapy at this point in your life makes sensethe worst that can happen is you find you feel better than you first understoodthe best that can happen is you find a caring therapist who helps you find faith in yourself again,1,1,691
92,in the past year two of my best and only close friends moved to different states now i have nobody to hang out with im always alone and i honestly havent hung out with anyone since they left im super lonely what should i do to make new friends because they moved and i have no friends now i think im falling into a depression or something i just need help,depression,definitely it is sad to lose friends who are a regular part of daily lifehow did you meet the two friends who just moved away   its possible that you could look for similar situations and see if anyone catches your interest to know as a friendkeeping in mind that friendship is based on trust and common interests and that these qualities require time to observe and develop think of what you can do to keep happy while these paths unfoldin addition to being open to meeting new friends involve yourself in projects from which youll feel satisfied by your own results,1,1,567
93,i feel lazy and numb i have no interest in things,depression,the feeling empty could stem from various factors perhaps asking yourself what would help you feel full what fills your cup what does that mean to you for you when were you last feeling fulfilled   what brings or has brought you joy have you read about or researched what is called dysphoria,1,1,291
95,i dont know how else to explain it all i can say is that i feel empty i feel nothing how do i stop feeling this way,depression,why do i feel emptyfeelings of emptinessa lack of meaning or purposeare experienced by most people at some point in life however chronic feelings of emptiness feelings of emotional numbness or despair and similar experiences may be symptomatic of other mental health concerns such as depression anhedonia or schizophrenialike i say seek to get a check up physically and mentally to see if there are any medical under lining issues,1,1,430
101,a few years ago i was making love to my wife when for no known reason i lost my erection    now im in my early s and my problem has become more and more frequent this is causing major problems for my ego and its diminishing my self esteem this has resulted in ongoing depression and tearing apart my marriage    i am devastated and cannot find a cause for these issues i am very attracted to my wife and want to express it in the bedroom like i used to    what could be causing this and what can i do about it,depression,first step always is to do a medical rule out so that youre sure the problem is psychological and emotion based not a medical condition which requires care and attentionif you are medically clear in the reasons for losing your erection then reflect on what may be creating a loss in confidence in either who you are and what youre doing with your life or whether your wife has these sort of problems within herselfoften a problem transfers ownership of who shows itif you are a sensitive person its possible your erection problem reflects your wifes insecurities and selfdoubt  if she is someone who is reluctant to talk about feeling unsure then in a certain way by you showing a problem she can avoid looking at herselfthere may not be a direct cause such as usually exists in a medical problemmedicine looks for symptoms to treatour emotional lives are much more indirectif you feel stress at work or are unhappy in the place you live for example then your frustration may show up in your sex lifebasically do a broad inward search of your life and what it holds and maybe ask your wife to do the sameyou may clear the air within yourselves and between each other so the problem goes away,1,1,1191
107,"i tried telling my husband i was depressed and he ignored me he said youre always sad or depressed and he picked up his phone and ignored me i said please dont exaggerate that isnt true and he said whatever babe you just want to be sad
   how can i get through to him so he will take me seriously",depression,oh dearfrom what you write your husband doesnt have any interest to know about you and your sad feelingsstay clear in understanding that you already did your part by asking him to listen and care about the way you feelin this example he told you he doesnt careits up to him to open his mind and heart to youdepending on how motivated to continue asking him to hear you try until you feel satisfied that youve given him enough chances to know who you are   at a certain number of tries at this youll either have success or notjust dont try forever because doing so will increase your depressed feelings,1,1,601
117,every winter i find myself getting sad because of the weather how can i fight this,depression,i would suggest some holistic approaches such as getting your vitamin d and iron levels checked make sure you are eating well exercising and getting outside when you can take a trip to someplace warm if possible use a sun lamp in the morning for  minutes to simulate sunlight seek professional health to gain coping skills and other ways to manage symptoms,1,1,356
129,"im going through some things with my feelings and myself i barely sleep and i do nothing but think about how im worthless and how i shouldnt be here
   ive never tried or contemplated suicide ive always wanted to fix my issues but i never get around to it
   how can i change my feeling of being worthless to everyone",depression,dear there could be under lining issues maybe even medical  energy work and a good check up could help  maybe even try reiki professional like myself offer services distance that can help with this  but first go get a good check up  family doctor blood tests cat scan hormones women  always consult your doctor first or if you need immediate help contact a crisis hotline   i also would suggest this book to read  if you want something to listen to or practice try this program,1,1,477
154,"i cant even smile or fake one i cant feel happiness about anything and i cant show love towards another person not even my girlfriend i hate myself sometimes all i see is ugly
   i cant get over the loss of a loved one and im not close to my family what can i do",depression,trust and believe your own feelingsemotions are real and reflect how someone feels about a situationsince youre sad about losing a loved one be patient w your feelings about this  basically be guided by how you feel and eventually you will feel different emotions which i hope will be happier ones,1,1,297
155,i feel like im so alone i treat people horribly based on whats going on in my life and dont realize it it ends up pushing them away especially the ones i love the most i have a weird feeling deep down inside and it wont go away i feel like im collapsing,depression,give yourself a little more credit for selfobservationyou wrote about treating people horribly and not realizing it  only if you truly didnt realize what you were doing then you wouldnt be able to write about ita little selfexamination goes a long wayyou have some basic clues about yourself such as pushing people away whom you lovestart with reflecting on the reasons for your behavior especially any fears about a negative result from opening your heart to another personthe weird feeling you have is also an area to selfreflect and theorize about  from what you write you have a solid awareness of your feelings  this is the place to start understanding more about your hesitation in relationship with others  this type of work can be done alone or with a therapist,1,1,769
156,i struggle with depression as well as pretty intense mood swings throughout the month i experience highs where i feel amazing and energetic and then lows where i lack focus energy and generally have a more dark outlook on my life how can i live a more balanced life,depression,this is something that would be really awesome to get your healthcare team to collaborate with you on  discuss medications and any lifestyle adjustments with your primary care provider pcp have your pcp do a full bloodwork up to check vitamin levels and thyroid functioning have your obgyn or pcp check your hormone levels and make any necessary adjustments or referrals to other providers to help support correcting any hormonal imbalances possibly an endocrinologist consult with a registered dietician to see if theres any dietary adjustments you can make to better regulate your hormones and mood listen to what your body needs as your cycle changes throughout the month,1,1,674
161,im facing severe depression and anxiety and i just feel like im going through a lot this really distracts me and i cant get my mind off the things that are bothering me    how do i overcome this anxierty and depression,depression,its hard to answer this without knowing more specifically the anxiety and depression symptoms you are experiencing  but typically treatment for anxiety and depression is multifaceted going to therapy working with your primary care doctor to check for and treat any physical factors learning healthy coping strategies for your anxiety and depression increasing your social support moving your body in ways that feel good spending time doing something thats meaningful to you  all of these can be helpful for treating anxiety and depression,1,1,538
171,i am the problem i make my family argue because of me my mom has even said it its constantly like this i cause problems i am worthless i cant stop crying sometimes i have to cry myself to sleep i cant even leave my room because my family cant stand me,depression,i am so very sorry for how pressured and sad you feel right nowdefinitely all family members have an effect on the other onesfrom what you write your family members are not considering the effect their negative comments have on youalso keep in mind that each person is responsible for deciding to argue or find a different way to discuss a problem you are not in control of the other people in your familymore likely they take the easy way out and blame you for what they dont want to know about themselvesstay aware that the familys decision to target you doesnt mean that you are doing something wrong   certainly your existence is not wrong which is the degree to which the unfairness seems to have spreadwhat to do about it is read about family systems to see more explanations on how you are being unfairly treatedalso stay in touch with friends bc these are the people who value and respect you,1,1,900
174,"im in my late teens and live with my dad the only time i go out is for my college classes sometimes when i see my friends i want to talk with them but sometimes i wont want to talk to them for days or even weeks    sometimes i feel im not worth knowing or im never going to do anything right
   are they right am i depressed",depression,characterized by persistent sadness and a lack of interest or pleasure in previously rewarding or enjoyable activitiesyoure not alone globally more than  million people of all ages suffer from depression  whofollowing could be potential causes of depression family history youre at a higher risk for developing depression if you have a family history of depression early childhood trauma some events affect the way your body reacts to fear and stressful situations brain structure medical conditions drug uselike i always state seeking to get physical and mental tests done then start a path in talk therapy,1,1,607
181,im very depressed how do i find someone to talk to,depression,it is to your credit that you reached out for help on this platform how to find someone to talk to would depend upon your lifestyle and worldview many people reach out to their faith community and others to friends family or seek help from a psychotherapist if you live in a large metropolitan area you will have an abundance of options however if you live in a more rural area options might be limited broadly speaking if you have health insurance you can make an inquiry about providers who deliver psychotherapy in your local area you might also try exploring profiles  on psychology today to get a sense of therapists in your area available for a phone consultation i wish you all the best in your search,1,1,708
188,"ive never been able to talk with my parents my parents are in their sixties while i am a teenager i love both of them but not their personalities i feel that they do not take me seriously whenever i talk about a serious event in my life if my dad doesnt believe me then my mom goes along with my dad and acts like she doesnt believe me either im a pansexual but i cant trust my own parents
 ive fought depression and won however stress and anxiety are killing me i feel that my friends dont listen to me i know they have their own problems which i do my best to help with but they dont always try to help me with mine when i really need them i feel as if my childhood has been taken from me i feel as if i have no one whom i can trust",depression,first of all i am sorry that you have been missing out on your childhood it may help you to know that many of us feel that we have missed out on our childhoods as well and that despite such deprivations for many of us our adult lives have been extraordinarily fulfilling due to our opening up to trusted adults i recommend that you find a trustworthy adult to talk to this may be a teacher a coach a school counselor a minister a family member or a friends family member if none of these are available try out a professional counselor social worker psychiatric nurse practitioner psychologist or a psychiatrist it is best to get a referral for such a professional from a peer who has had a positive and safe experience with a particular provider,1,1,745
190,i suffer from adult adhd anxiety disorder and depression it has been difficult to find a doctor in my area and my primary physician wont help i am unemployed and overwhelmed what would you suggest i do,depression,telehealth has become very popular during the pandemic one of the benefits of telehealth is that you can see a therapist who may not be in your area at all although depending on where you reside they likely just need to be licensed in the state where you reside telehealth offers access to a much larger pool of mental health providers some therapists offer sliding scale fees a reduced fee for those who are unable to pay full rate,1,1,432
195,i was married to a narcissist sociopath for  years during that time i was a general manager i used to help him financially and in other ways when we were together but things began to change he emotionally and sexually drained me i lost my spirit i used to be a very happy person but now i am a loner i left him and moved to another state currently im working as a server which makes me believe less in myself i feel pity for myself a lot but dont know what to do when i have money problems he does not help me he actually enjoys seeing me have a hard time in my life i need help,depression,congratulations on leaving your marriageit is ok and natural to feel sadness loss uncertainty in direction hurt resulting from ending the marriagepossibly what you consider pity is a combination of these feelingsbe kind and caring toward who you are since you just put yourself through a major separation and need time to clear out the old emotions that connected you to your exthere is very very little chance of him helping you since he lacks compassion and empathymore likely any help he gave would be in order to manipulate youmaybe for now your server job is ok do you have more time to concentrate on taking care of your emotionsyou were a manager once you can be a manager again when you feel ready for doing sogood luck,1,1,727
196,i have bipolar disorder paranoid personality disorder posttraumatic stress disorder anxiety and obsessivecompulsive disorder i last selfharmed a week ago when i am stressed overwhelmed hurt or angry the urge to selfharm is all i can think of i am trying to seek help,depression,seeking professional help does not mean that you will necessarily be admitted into an inpatient setting  though  to be honest that can become an option if you feel unsafe or if you are unable to plan for safety however many clients who struggle with selfharm can find help in outpatient settings  particularly those which offer a treatment called dialectical behavioral therapy dbt looking for a dbt professional or group therapy setting may be particularly helpful but a skilled professional can help you to figure out how to identify other options even when you are experiencing overwhelming emotions without knowing your location i also recommend searching to find your local helpline or suicide prevention hotline the volunteers on the other end of the line can be very helpful even if your intention is not suicide and they are likely also to be able to connect you with resources in your area calling into the helpline may also be a first step alternative to selfharming when youre feeling overwhelmed,1,1,1007
198,i just feel sad all the time and i dont like anyone in my family i feel like theyre trying to control me and wont let me grow,depression,understandably the idea of someone who tries to control you is good reason to feel sadyour feelings sound like they are very strong and meaningful in your lifekeep in mind that your feelings about others has more to do with ones own selfview than with what the other person is actually doingunless the people in your family are actually interrupting and impeding your life in practical ways or by intimidation or other verbal ways to inhibit you then there is a great chance your feelings of being controlled by other family members has more to do with your fears to be who you are than with any family members actions,1,1,618
199,im starting to think that i might have depression the thing is though im not exactly sad i can joke with my friends and stuff but ive stopped caring about my work and ive been starting to think that life is pointless i really have no clue if i need help or if im just tired or something,depression,depression isnt something someone has it is a dark mood and lack of satisfaction with the way the current life is structuredif you think of depression as motivation to look for new ways to understand yourself find ways which are more satisfying in your work and relationships then depression is a charmthe typical attitude most people have when they think of the word depression is that their life will collapse and decline theyll need to take drugs and feel hopelessif you take a different approach and work with your depression as a signal to change some major area or one or two minor areas then you will engage yourself in creating a better life for yourself,1,1,662
201,ive had posttraumatic stress disorder for years without my parents ever finding out i want to overcome it but its so vivid its like its happening again im scared and paranoid i have depression which i have been struggling with since a young age,depression,post traumatic stress disorder ptsd is a very complex issue  it is the root cause of many other issues including depression anxiety and anger to name a few  reexperiencing the event is a telltale symptom of ptsd  one of the best things you can do for yourself is to find someone who specializes in this area to help you work through the symptoms associated with this disorder as well as directly addressing the eventevents that initially caused the symptoms  there are various treatment methods available to helping professionals that are successful in treating this disorder  in the meantime there is a book called the body keeps the score it is informative and may be helpful for you on your journey  it is my hope that you are not dealing with this alone   best wishes,1,1,771
204,i have twin toddlers i experienced a death of loved one prior to giving birth i had a horrible break up with the father people told him he was using me for money my exboyfriend had extreme meltdowns every day for three years im always alone with no friends,depression,first let me say that you are a survivor and a warrior managing  child by yourself is difficult but twins is a whole different ballgame anxiety can affect us at any time anywhere this is the challenge especially when we have so many things to manage each day there are several methods and practices that help manage and even reduce symptoms of anxiety it will depend on what works best for you talk with friends a counselor or a loved one who can offer you support and feedback as you navigate this process of learning what works for you when all else fails make sure you are in a safe place pause for a deep cleansing breath in a long exhale out and ask yourself what do i want in this moment now you can begin again,1,1,717
205,in the last ten months ive been kicked out moved around three times worked many jobs stopped school to make money had dad and mom get sick was cheated on while pregnant lost my baby had relationship issues and was betrayed i cant get a job i have no friends i feel lonely and isolated ive been dealing with all this by myself,depression,good for you to realize your strength to identify this long list of difficulties and recognize the difference between these pressured events and who you truly areselfcare is the overall way to stabilize from so much upheaval and stress whatever is your favorite way to rest and relax would be a beneficial way to regain your emotional and physical strengthusually upsetting incidents are necessary so we place ourselves on a new track in life  they are not meant to harm you so much as to nudge you to invest your life with different activities and people,1,1,555
207,i dont know if i have depression but i have been very sad there are nights that i dont sleep i dont eat all day sometimes i dont have energy to anything anymore,depression,these symptoms are all classic to the diagnosis of depressiona diagnosis itself doesnt help anyone get better  often people say the word depression as though it means something terrible   the diagnosis of depression can be depressingforget matching symptoms with a diagnosismore important to improvement is to know the reason for your sadness  when people become sad there is a reason for it and knowing this reason is the first step to changing the situation which creates the sadness in youthink of depression as a way to slow down and examine aspects of your life and relationships  if you continue at the same pace of living and didnt stop and examine your life then you may not notice what needs changing,1,1,709
208,my motivation has gone away its hard to get out of bed i really dont know what to do anymore im miserable my anxiety and depression have taken over my life,depression,anxiety and depression are challenging experiences to live with and to manage on a daily basis i would say that both are challenges to overcome but solutions to living healthy and well exist step  talk about it with friends family partners counselors and other trusted people in your life step  create a plan with a counselor to learn new skills that help you recognize and manage your symptoms step  dont give up working on yourself can be difficult and hard at the beginning stick with it and you will be able to find exercises tools and resources that help you live well,1,1,573
210,im in my early s ive worked since two months after i turned  i have plans i could become an electrician or i could operate heavy machinery i have goals but i do nothing to try to meet them because i dont feel i can i just want a better life for my fiancée and the kids than i did,depression,if youre not following the goals you gave yourself there are two possibilitiesyou dont really like your goalsyou selfsabotage and prevent yourself from your own strengths and accomplishmentsthink through each of theseif youve set goals which arent true to your nature then intuitively some part of you will reject themif you selfsabotage get in your own way from achieving what you truly would like then ask questions of yourself around whether you feel undeserving of success,1,1,476
