,question_text,topics,answer_text,q_token_count,a_token_count,a_text_length,tf_type_zero_shot,tf_score
1263,i have known i was always different this year in december i found out that i never felt female i did research and have identified myself as male but dont know how to tell my dad,familyconflict,in part the answer depends on your ageif you are legally a minor then consulting with a doctor for guidance on transitioning will require your father or whoever else pays for your health insurancethe way to tell him if it is a necessity and even if you are older and would like him to know your truth is as followsknow the reason for your hesitancy to speak with himthis  way you can anticipate and to some degree rehearse your answerstell him the truth about your own difficulty to speak about the topic  people usually soften if they feel you appeal to their compassion and sensitivityalso accept that you may hear a bad reaction from him and be prepared for this possibility,1,1,677,T,0.5873969793319702
2701,"i am in a high stress position for a tech company i am being overworked and underpaid for my contributions and it is not only giving me anxiety but also demoralizing

what can i do to manage my stress",stressworkplace relationships,recognize your reason for continuing to work for this placesometimes overworked and underpaid is tolerable bc of the valuable learning which the person will take with them when theyve decided the time has come for these lessons to endor are you in this place bc it is an easy commute to your home or fits well with other parts of your life such as education or some health related programas long as you have a good reason to be there you will feel there is good purposeif there is no good purpose and every day you wake up to work for a place you cant stand then its time to look for a new position,1,1,598,T,0.7467403411865234
1966,"how do i ever trust another woman i have found myself constantly reading between the lines with every other woman that i meet i am having a difficult time making any sort of connection to anyone because of her deception and willingness to say and do literally anything in order to control my emotions
once the relationship was over she became extremely abusive and has attempted to intimidate me into silence regarding the many false claims made on her immigration application",marriagefamily conflictprofessional ethicslegal  regulatory,im sorry to hear about being taken advantage of by your former wifeon the positive side think of how much you learned by going through this very painful timemaybe you are naturally very generous and caring to the point of expecting very little from the other person for exampleconsider yourself in a favorable position to not feel like going out right now and meeting a new person   your spirit is guiding you to stay put and recuperate from this ordeal review for any signs you may have been more trusting than merited by the persons behaviortheres a natural flow to what were able to handle and when we have renewed capacity for new adventurestheres no reason to assume that youll never trust another woman again  the first step is rebuilding trust in yourself to step into a new relationship   there is no designated time line  youll simply feel more ready than you feel nowvery unlikely that youd ever place yourself in a similar situation to the one youre currently recovering fromgood luck,1,1,995,T,0.613214373588562
288,i started having anxiety three months ago im new to having anxiety and its making me depressed,depression,i agree with cory acceptance and commitment therapy act does seem to help a lot of people who struggle with anxiety its not the only type of therapy that can help but it seems to help people in a way that is more natural and realistic as cory mentioned anxiety is something that is part of life so therapies that indicate we can get rid of it are questionable our natural inclination when we have anxiety is to stop any and all things that may cause it or provoke it we do this because we think it will help but it actually doesnt anxiety usually has us rehashing the past or rehearsing the future while ignoring the present act helps folks who have those kinds of tendencies be wellrobin j landwehr dbh lpc ncc,1,1,711,T,0.7145044803619385
1108,he said that if i were to visit my mother he will be gone when i get back my boyfriend and i hit a rough patch in our relationship a few months back and my mom had a few choice words with him,intimacy,your boyfriend and you have a separate relationship than your relationship with your mother   by trying to control whether or not you visit your mom unless you are in agreement with this is building tension between you and himask why he resents your interest to see your motherif he is insecure to the point where he fears your mother will influence your opinion about him then trying to prevent you from visiting your mom is itself creating negativity in you toward himif something still bothers him about the problems you both had several months ago then talking about these problems will do more to clear the air between the two of you than him trying to interfere in your relationship with your mother,1,1,705,T,0.6107281446456909
644,i am a counselor at day camp where we have a child with severe autism we try to keep him entertained by carrying cards around for when he starts acting up so we can get him to focus on something else the day camp administrator has told us not to yell at him because he will zone out and not listen so we just talk in a calm voice however other kids see the treatment as unfair,parenting,behavioral interaction with someone who has severe autism requires highly specialized training both for any professional staff involved with the person and for the family membersit is an unfair situation for both the person who has autism as well as the campers who do not to expect both sides to get along harmoniouslyin order to achieve this the campers would need specialized training to know how to respond to distress in the camper who has autismthis would obviously stretch and burden the summer camp budget as well as provide an activity which usually isnt part of summer camp for childrenwhat you can do which may be productive in helping the camper who has autism is to point out the interaction difficulty to the summer administratorsultimately it is their problem to only take campers who are able to reasonably adjust to socializing together and from what you write the administration has overreached whom they consider reasonable camper mates,1,1,955,T,0.5418084263801575
2782,"we rent from from my boyfriends parents his father drops by unannounced and stays for long periods of time he lets himself into our home when we arent there on a daily basis and takes our dogs to his house he picks up our mail he has no boundaries 

hes an opinionated rude pushy person he expects to spend every weekend around us gives unsolicited advice on child rearing and does not respect our privacy at all he barges in with no warning he has a key and lets himself into our house without asking permission i need help how do i address this",family conflictrelationships,youre expecting reasonable behaviors from your boyfriends fathersince the father is his your boyfriend is the person in position to speak directly with his dad about the expectations you and he have of the fatherif your boyfriend has a good relationship w his dad which is not what this sounds like then greatif your boyfriend has a stressed and tense relationship w his dad then somehow he needs to develop or be coached and encouraged by the people in his life who truly care about and know him a way to state the very reasonable standards you describe hereif all else fails then a new living space is always another possibility,1,1,630,T,0.5693538784980774
787,i got married in  i have a two year old son his mom and i decided to separate due to my infidelities weve tried to reconcile our differences but it never works out since weve been separated ive dated someone and we are expecting a baby girl is this something i should mention to my wife the current woman whom im dating has been telling me for months to break up with her but its hard because i actually love her,relationshipdissolution,my answer is yes you should tell her because you have a child with her she is the mother of your son and this new baby would be his half sister i think telling her is mature and appropriate usually procrastinating just makes it worseanother thing to consider would you want her to tell you if she was pregnant with her boyfriends baby hope this helps take care,1,1,360,T,0.5962749123573303
513,i get so much anxiety and i dont know why i feel like i cant do anything by myself because im scared of the outcomes,anxiety,the other two post answers to your question are very good and i dont feel the need to repeat what has already been said quite well but i will offer one other option i have been able to utilize quite successfully with those dealing with panic attacks  chain analysis is a fantastic way for your to map out the situation starting with the prompting event the chain of events links that lead up to the behavior  in this case a panic attack and then what the consequences were  see the illustration belowthis is very useful in that it lays everything out for you to see so that it becomes possible to alter one of the links leading up to the unwanted behavior panic attack allows you to come up with strategies for similar situations prompting events and allows you to understand how you are reinforcing the behavior when it does occur consequences  finally  it would also allow you to identify any particular vulnerabilities such as not enough sleep poor nutrition trauma history or having a cold the time it occurred  working with someone who utilizes a behavioral approach such as dbt or behavioral analysis you can find solutions that replace one of the links and therefore breaks the chain of events,1,1,1200,T,0.5115715265274048
1270,im an adult facing problems with my mom shes way too controlling she decides things for me disregarding whatever i say i tried explaining my side to her calmly but she eventually gets angry and doesnt wish to listen to me regardless of how i speak to her,familyconflict,the part of your life which is in your control is the way you handle what your mom does and the way she talks to youit is possible the two of you have very different opinions on a great number of matterseach person including you has the right to decide whether and how to respond to someonestick up for your own right to make decisionsif she doesnt accept your independent viewpoints then this doesnt give away your right to have these viewssince she makes herself clear as to her unwillingness to listen to you then consider this as an easy way to avoid directly speaking with her about whats on your mindif she ever shows an interest in your opinions and you feel like discussing these with her then feel free to make this choice,1,1,731,T,0.6973471641540527
