,Unnamed: 0,question_text,topics,answer_text,q_token_count,a_token_count,a_text_length,tf_type_zero_shot,tf_score
0,1068,today my boyfriend broke up with me because he says i stress him out with me not trusting him and always accusing him of things it hit me that i still hold on to every bad thing my mother has ever said to me and everything that anyone has ever done to me i act as if hes going to do it too,intimacy,the relationship history with your mother was probably quite painful and left emotional hesitation to avoid similar dynamics with othersif you havent done so already then tell your bf about the difficulties you had with your mother and ask him to be sensitive to not trusting easilythe two of you can collaborate in creating more security in relating to him   maybe he can tell you sooner about particular times he feels frustratedthen you will know and be able to address your own sore points and by handling these differently than through the years with your mom toward your bfyour process of feeling and thinking in terms familiar from your growing up years is normal   each of us is this waythe difference is you know and would be willing to develop new patterns of relating to someone which is based on more care and trust than you knew growing up,1,1,852,F,0.834273636341095
1,264,ive been depressed for quite a while ive been trying to work through it and my boyfriend has been my rock he is honestly the only person i trust enough to talk to about anything but he decided to break up with me because of my depression i cannot afford to see a therapist or anything so he saw no hope in staying with me my insurance has a  deductible so im screwed ive had everything from suicidal thoughts to trying to quit my job i have no one my family doesnt care about me they kicked me out when i turned  a few years ago i had friends but they have all moved on with their lives and have no time for me my exboyfriend is trying to help but is making things worse because every time i see or hear him i break down into tears i found out that i will never be promoted now because of my depression,depression,it sounds like you have been struggling with this for quite some time using many of the same coping techniques that feel tried and true to no avail often we fall back on coping techniques that would be helpful in other problems stress social anxieties etc for our depression but the truth is that depression requires its own little tool kit depression is allencompassing and based on what youve written the symptoms are already affecting work and your personal life in myriad ways  the best route forward would be to seek out counselling admittedly but if your insurance deductible is too high that can be very expensive i would recommend contacting your employee assistance program eap if offered by your employer if not you can look into community centres for counselling options check if your doctor will give you a referral or your local religious organization if however you are motivated to get your depression under control there are some great workbooks out there that you can use on your own or with your therapist as long as your therapist is trained in cognitive behavioural therapy or cbt such as mind over mood,1,1,1123,F,0.8410578370094299
3,265,i no longer carry expressions on my face and my emotions are decreasing the more i have fights with my fiancée,depression,sometimes repressing anger can lead to depression and block all kinds of other emotions too  i would wonder about your experience with anger and if youve ever been discouraged from expressing anger  i would also wonder if you feel like you have space to express yourself in your relationship or if you feel like you really arent being heard  its hard to feel cared for and connected to someone else when you dont feel accepted by them,1,1,434,F,0.8528777360916138
5,1966,"how do i ever trust another woman i have found myself constantly reading between the lines with every other woman that i meet i am having a difficult time making any sort of connection to anyone because of her deception and willingness to say and do literally anything in order to control my emotions
once the relationship was over she became extremely abusive and has attempted to intimidate me into silence regarding the many false claims made on her immigration application",marriagefamily conflictprofessional ethicslegal  regulatory,im sorry to hear about being taken advantage of by your former wifeon the positive side think of how much you learned by going through this very painful timemaybe you are naturally very generous and caring to the point of expecting very little from the other person for exampleconsider yourself in a favorable position to not feel like going out right now and meeting a new person   your spirit is guiding you to stay put and recuperate from this ordeal review for any signs you may have been more trusting than merited by the persons behaviortheres a natural flow to what were able to handle and when we have renewed capacity for new adventurestheres no reason to assume that youll never trust another woman again  the first step is rebuilding trust in yourself to step into a new relationship   there is no designated time line  youll simply feel more ready than you feel nowvery unlikely that youd ever place yourself in a similar situation to the one youre currently recovering fromgood luck,1,1,995,F,0.6667349934577942
7,2475,after he got home from the hospital he was angry then for a time wonderful  now he is depressed and hopeless again,marriagedepressionselfharm,this is actually more common then we often realize and actually understandable as he has gone through a trauma an unresolved existential crisis  he was taken care of by others and now is again left alone with his own internal and rather horrific inner strugglein my work with cct or contextual conceptual therapy see wwwsuicidetherapycom i have learned how trapped suicidal people are in their own isolation also called a mysterious isolation a form of self protection which cuts the off from their self or spirit  and unless they address this message from their soul accompany a guide on a journey to discover their own missing information that is to recognize how their own uncomforted emotional pain has resulted in a coping stategy which has effectively cut themselves off from their own beauty their self and their ability to receive love from themselves and others their attempt to kill themselves is a cry from their soul or spirit that they cannot live the life they are living any longer  they take this literally and try to end their life when in fact what their soul or spirit is saying is they need to begin to live the life they came here to live,1,1,1159,F,0.5319752097129822
8,1455,i found out my boyfriend takes antidepression medicine lately hes been saying he has a lot on his mind and he needs time to think about us weve only been dating  weeks but i like him a lot,relationships,give him the time and space he needs  obviously something is going on with him that he needs time to process think about and work through  respect that most men are not talkers but more thinkers  if and when he is ready to talk he will  when and if he does talk be a comforting listener and put yourself in his shoes the best you can to be the support he needs  dont take it personal because you just been dating  weeks and his depression maybe something that been going on for a while  if you do like himshowing him by being patient and supportive at this time,1,1,561,F,0.8924340605735779
9,1169,i just lost my grandpa and im having a rough time with it    i need some help to deal with the loss but i dont think i can pay for counseling where can i get help,griefandloss,im sorry your grandpa diedgood for you to write on this site about wanting help to know how best to live with this new losshave you looked online for blogs and forums about adjusting to a recent death  that you know youd like another person to help you adjust is a good sign of your own mental health stabilityit is possible that reading online blogs and discussion forums writing on these if you feel like doing so and possibly joining a local free support group will be all you need to feel betterthere is no set timeline in grief   let yourself take as much time as you feel is best for you,1,1,593,F,0.8980814814567566
10,745,a few nights ago i talked to this girl i know about my self esteem issues for the first time we talked for hours and she told me time and again that i was a great guy she told me i was attractive and have a great personality etc i really started to feel better about myself by the time i woke up the next morning now though i cant stop thinking about her but i leave to go back to college in a few days and i go to school  hours away from her so now i feel constantly depressed because even if i told her how i felt it wouldnt matter i feel helpless and i dont know what to do,selfesteem,hey  it takes a lot of courage to share your feelings with someone  and it sounds like you have been lucky to meet someone who makes you feel safe enough to explore some of your more painful feelings  a big part of the process however of strengthening your selfconcept is learning how to tell yourself those positive messages that you heard from your friend  leaving for college may also be contributing to your feelings of unsteadiness  try this  make a list of all of the positive things that you know are true about yourself  ask your friends and family to contribute to the list  then carry it with you in your wallet  and when you need a selfesteem boost take a look at it  you are in a season of life that presents lots of challenges and opportunities  reach out to your longdistance friend when you need support  and take a walk over to the campus counseling center and check out what they might have to offer  be wise,1,1,925,F,0.906938910484314
12,938,my dad beat and mentally abused me so badly that i cant function properly letting go of the past is important to moving on and getting better but im terrified to get better because i dont even know who i am without the trauma ive never gotten to be myself i dont even know who i am,trauma,i am so sorry to hear that you are struggling  getting to know yourself after a trauma especially at the hands of a caregiver and learning to trust yourself can feel terrifying  i would encourage you to seek out a trauma therapist who can work with you slowly and at your pace  you are not your trauma  you are good and you are whole  please seek out the support of a therapist who sees that in you,1,1,398,F,0.985848903656006
13,777,my wife just last week said she wants a divorce and its all sudden i understand that marriages have their ups and downs but i dont understand why she cant tell me why she wants a divorce should i fight for my family daughter and wife,relationshipdissolution,chances are if you really think about it there were signs that something wasnt quite right in your marriage you may have passed these things off as being the normal ups and downs of a marriage but whatever it was or wasnt its obviously bothering your wife i would say yes keep trying to fight for your family at least until you know what the problems are from your wifes perspective and if theyre repairable ask your wife if shes willing to try to work on the marriage and then see a marriage counselor just be sure youre open to hearing whats said and try not to get defensive if she blames you for some thingseven if your wife is adamant about getting a divorce that doesnt mean youre divorcing your daughter and you should make sure she knows that continue to be a part of her life and although it may be difficult if a divorce does happen try to be as amicable as possible with your wife so your daughter isnt further impacted by this new family dynamic,1,1,957,F,0.8295217752456665
